Row Type,Action,Ad group status,Customer ID,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-France,,A - Vendre,Standard,,2.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-France,,B1 - Gestion locative,Standard,,2.00,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,Standard,,2.00,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-France,,C - Estimation,Standard,,2.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-France,,D - Agence,Standard,,1.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-Diaspora,,A - Vendre,Standard,,2.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,Standard,,2.00,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,Standard,,2.00,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-Diaspora,,C - Estimation,Standard,,2.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - FR-Diaspora,,D - Agence,Standard,,1.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - Maroc,,A - Vendre,Standard,,2.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - Maroc,,B1 - Gestion locative,Standard,,2.00,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,Standard,,2.00,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - Maroc,,C - Estimation,Standard,,2.50,,,,,,,,,,,
Ad group,Add,Enabled,407-193-7268,,Atlas Rouge - Maroc,,D - Agence,Standard,,1.50,,,,,,,,,,,
